1520975818.071097,.66,4.00,119.50,-238.50,23.18,-0.23
1520975823.389271,4.63,-0.95,0.10,0.55,143.19,39.96,-995.67,7.00,122.00,-238.50,23.18,-0.23
1520975823.455932,4.62,-0.60,0.50,0.45,143.19,36.63,-995.67,6.50,123.00,-237.50,23.32,-0.23
1520975823.522843,4.63,-0.70,0.50,0.30,146.52,33.30,-999.00,7.50,122.50,-238.00,23.18,-0.23
1520975823.6218648,4.62,-0.80,0.65,0.90,133.20,26.64,-999.00,6.50,121.50,-239.00,23.18,-0.23
1520975823.6886895,4.62,-0.45,0.60,0.75,143.19,29.97,-999.00,5.50,120.00,-238.00,23.18,-0.23
1520975823.7554443,4.63,-0.50,0.80,0.35,146.52,26.64,-995.67,5.50,120.00,-237.50,23.32,-0.23
1520975823.8546019,4.63,-0.75,0.20,0.60,139.86,29.97,-989.01,4.50,119.50,-238.50,23.18,-0.23
1520975823.9214602,4.63,-0.75,0.25,0.35,143.19,29.97,-999.00,5.50,121.00,-237.50,23.18,-0.23
1520975823.9881897,4.63,-0.35,0.40,0.40,139.86,23.31,-995.67,5.50,120.00,-238.00,23.32,-0.23
1520975824.0873675,4.62,-0.80,0.30,0.40,143.19,29.97,-992.34,4.00,120.00,-238.00,23.18,-0.23
1520975824.1541653,4.63,0.00,0.30,0.50,139.86,33.30,-992.34,7.50,122.00,-237.50,23.18,-0.23
1520975824.2209327,4.62,-0.40,0.40,0.35,146.52,36.63,-995.67,7.00,122.00,-238.00,23.18,-0.23
1520975824.3200452,4.63,0.00,0.20,0.95,136.53,33.30,-995.67,6.50,121.50,-239.50,23.18,-0.22
1520975824.3868535,4.63,-1.05,0.40,0.25,143.19,33.30,-989.01,7.50,122.50,-236.50,23.18,-0.23
1520975824.453741,4.63,-1.00,0.15,0.35,153.18,33.30,-992.34,8.00,122.00,-238.50,23.32,-0.23
1520975824.5527515,4.62,-1.00,0.65,0.35,146.52,33.30,-992.34,6.50,121.00,-239.00,23.32,-0.23
1520975824.6195657,4.62,-0.30,0.15,0.60,146.52,33.30,-992.34,7.50,121.50,-237.50,23.18,-0.23
1520975824.6863966,4.63,-0.60,0.05,0.15,143.19,29.97,-995.67,4.00,120.50,-238.00,23.18,-0.23
1520975824.785517,4.62,-0.45,0.90,0.45,143.19,33.30,-999.00,3.50,119.00,-238.00,23.32,-0.23
1520975824.8523834,4.62,-0.70,0.60,0.25,143.19,29.97,-995.67,6.00,120.00,-237.50,23.18,-0.23
1520975824.9191082,4.63,-0.90,0.10,1.20,136.53,29.97,-989.01,4.00,120.00,-238.00,23.32,-0.23
1520975825.0182703,4.63,-0.95,0.20,0.60,143.19,29.97,-999.00,3.50,119.50,-238.00,23.32,-0.23
1520975825.0850906,4.63,-0.40,0.30,0.80,146.52,29.97,-995.67,5.50,120.50,-237.50,23.32,-0.23
1520975825.151867,4.62,-0.85,0.15,0.75,143.19,29.97,-989.01,6.50,122.00,-237.00,23.32,-0.23
1520975825.2510366,4.62,-0.90,0.80,0.25,143.19,29.97,-999.00,5.50,120.00,-238.00,23.18,-0.23
1520975825.3177946,4.62,-0.30,0.80,0.50,139.86,29.97,-992.34,7.00,121.50,-237.00,23.18,-0.23
1520975825.4169638,4.63,-0.25,0.35,0.50,139.86,29.97,-992.34,6.00,122.00,-237.50,23.32,-0.23
1520975825.4837286,4.63,-0.65,0.50,0.30,143.19,33.30,-995.67,5.50,120.50,-239.00,23.32,-0.23
1520975825.5505927,4.63,-0.80,0.25,1.00,136.53,36.63,-989.01,6.50,121.50,-237.50,23.18,-0.23
1520975825.6496859,4.63,-0.35,-0.15,0.60,146.52,36.63,-995.67,6.50,122.50,-238.00,23.32,-0.23
1520975825.7165208,4.63,-0.35,0.30,0.85,133.20,29.97,-989.01,4.50,120.00,-237.50,23.18,-0.23
1520975825.7833035,4.62,-0.35,0.25,0.60,143.19,33.30,-992.34,5.50,119.00,-237.50,23.18,-0.23
1520975825.8824673,4.63,-0.45,-0.25,0.10,143.19,33.30,-992.34,6.50,121.50,-238.00,23.18,-0.23
1520975825.9493637,4.63,-1.30,0.15,0.20,139.86,33.30,-1005.66,6.00,120.00,-239.00,23.18,-0.23
